Manufacture,Device Model,Released Date,Released OS,Current Supported OS,Reference Source,Android One
Samsung,Galaxy S10 5G,2019/04,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/samsung_galaxy_s10_5g-9588.php,0
Samsung,Galaxy S10+,2019/03,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/samsung_galaxy_s10+-9535.php,0
Samsung,Galaxy S10e,2019/03,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/samsung_galaxy_s10e-9537.php,0
Samsung,Galaxy S10,2019/03,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/samsung_galaxy_s10-9536.php,0
Samsung,Galaxy S9+,2018/03,Android 8.0 (Oreo),Android 9.0 (Pie),https://www.gsmarena.com/samsung_galaxy_s9+-8967.php,0
Samsung,Galaxy S9,2018/03,Android 8.0 (Oreo),Android 9.0 (Pie),https://www.gsmarena.com/samsung_galaxy_s9-8966.php,0
Huawei,P30 Pro,2019/03,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/huawei_p30_pro-9635.php,0
Huawei,P30,2019/03,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/huawei_p30-9530.php,0
Huawei,P30 lite,2019/04,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/huawei_p30_lite-9545.php,0
Huawei,nova 4e,2019/03,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/huawei_nova_4e-9627.php,0
Huawei,Y5 (2019),2019/05,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/huawei_y5_(2019)-9675.php,0
Huawei,Enjoy 9e,2019/04,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/huawei_enjoy_9e-9645.php,0
LG,G8 ThinQ,2019/04,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/lg_g8_thinq-9540.php,0
LG,V40 ThinQ,2018/10,Android 8.1 (Oreo),Android 8.1 (Oreo),https://www.gsmarena.com/lg_v40_thinq-9300.php,0
LG,Tribute Empire,2019/01,Android 8.1 (Oreo),Android 8.1 (Oreo),https://www.gsmarena.com/lg_tribute_empire-9544.php,0
LG,Candy,2018/09,Android 7.1.2 (Nougat),Android 7.1.2 (Nougat),https://www.gsmarena.com/lg_candy-9309.php,0
LG,G7 Fit,2018/11,Android 8.1 (Oreo),Android 8.1 (Oreo),https://www.gsmarena.com/lg_g7_fit-9305.php,0
LG,G7 One,2018/10,Android 8.1 (Oreo),Android 9.0 (Pie),https://www.gsmarena.com/lg_g7_one-9304.php,1
LG,Q8,2018/10,Android 8.1 (Oreo),Android 8.1 (Oreo),https://www.gsmarena.com/lg_q8-9285.php,0
LG,K11 Plus,2018/07,Android 7.1.2 (Nougat),Android 7.1.2 (Nougat),https://www.gsmarena.com/lg_k11_plus-9278.php,0
Vivo,Y17,2019/04,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/vivo_y17-9666.php,0
Vivo,X27 Pro,2019/04,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/vivo_x27_pro-9660.php,0
Vivo,S1,2019/04,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/vivo_s1-9649.php,0
Vivo,X27,2019/03,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/vivo_x27-9629.php,0
Vivo,V15,2019/03,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/vivo_v15-9614.php,0
Vivo,iQOO,2019/03,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/vivo_iqoo-9613.php,0
Vivo,V15 Pro,2019/03,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/vivo_v15_pro-9553.php,0
Vivo,Y89,2019/01,Android 8.1 (Oreo),Android 8.1 (Oreo),https://www.gsmarena.com/vivo_y89-9526.php,0
Asus,Zenfone Max Plus (M2) ZB634KL,2019/03,Android 8.0 (Oreo),Android 8.0 (Oreo),https://www.gsmarena.com/asus_zenfone_max_plus_(m2)_zb634kl-9634.php,0
Asus,Zenfone Max Shot ZB634KL,2019/03,Android 8.0 (Oreo),Android 8.0 (Oreo),https://www.gsmarena.com/asus_zenfone_max_shot_zb634kl-9633.php,0
Asus,Zenfone Max Pro (M2) ZB631KL,2018/12,Android 8.1 (Oreo),Android 9.0 (Pie),https://www.gsmarena.com/asus_zenfone_max_pro_(m2)_zb631kl-9410.php,0
