Device Name,Codename,Support from OEM,Image Type,,,,,,,,,,,,,,,,,,
Alcatel 5V 5060D,n/a,,A,,,,,,,,,,,,,,,,,,
Alldocube M5,n/a,✓,A,,,,,,,,,,,,,,,,,,
Alldocube Power M3,n/a,✓,A,,,,,,,,,,,,,,,,,,
AllView V3 Viper,v3_viper,✓,A,,,,,,,,,,,,,,,,,,
Asus ROG Phone (ZS600KL),n/a,✓,A/B,,,,,,,,,,,,,,,,,,
Asus ROG Phone II (ZS660KL),I001D,✓,A/B,,,,,,,,,,,,,,,,,,
Asus Zenfone 5 (ZE620KL),X00QD,✓,A,,,,,,,,,,,,,,,,,,
Asus Zenfone 5Z (ZS620KL/ZS621KL),Z01R,✓,A/B,,,,,,,,,,,,,,,,,,
Asus Zenfone Go,Z00VD,✓ (Go),A,,,,,,,,,,,,,,,,,,
Asus Zenfone Max M1 (ZB555KL),X00PD,✓,A/B,,,,,,,,,,,,,,,,,,
Asus Zenfone Max M1 (ZB556KL),X00PD,✓,A/B,,,,,,,,,,,,,,,,,,
Asus Zenfone Max Pro M1,X00TD,✓,A,,,,,,,,,,,,,,,,,,
Asus Zenfone Max Pro M2,X01BD,✓,A,,,,,,,,,,,,,,,,,,
Barnes & Noble Nook Tablet 10.1,BNTV650,✓,A,,,,,,,,,,,,,,,,,,
Blackview A20,a20,✓ (Go),A,,,,,,,,,,,,,,,,,,
Blackview A60,a60,✓ (Go),A,,,,,,,,,,,,,,,,,,
Blackview A60 Pro,a60_pro,✓,A/B,,,,,,,,,,,,,,,,,,
Blackview BV9500,s32v63c2k_jk,✓,A,,,,,,,,,,,,,,,,,,
Blackview BV9500 Pro,n/a,✓,A,,,,,,,,,,,,,,,,,,
Blackview BV9600 Pro,n/a,✓,A or A/B,,,,,,,,,,,,,,,,,,
BLU Vivo XL4,n/a,✓,A,,,,,,,,,,,,,,,,,,
BQ Aquaris C,jeice,✓,A,,,,,,,,,,,,,,,,,,
Chuwi Hi9 Air,n/a,✓,A,,,,,,,,,,,,,,,,,,
Coolpad C558,k39tv1,✓ (Go),A,,,,,,,,,,,,,,,,,,
Coolpad Cool Changer 1C,c107,,A,,,,,,,,,,,,,,,,,,
