Carrier,Manufacture,Model,Release_Date,Bulletin_Level,difference, build,Year_Phone_Release,Month_Phone_Release,Bulletin_Year,Prior_Missed_Bulletins,Days_Since_Last_Security_Updates
AT&T,Alcatel,Alcatel IdealXCITE,2018-04-03,2018-04-01,2,nan YB4UA40File nan,2017,6,2018,,
AT&T,Alcatel,Alcatel IdealXCITE,2018-10-24,2018-08-01,84,JO.2.0.c1-00267-8909_GEN_PACK-2 nan YAYUAY0,2017,6,2018,3.0,204.0
AT&T,BlackBerry,BlackBerry KEYone,2018-05-29,2018-04-01,58,MPSS.TA.2.3.c1-00723-8953_GEN_PACK-1.153374.2 ABI975 nan,2017,4,2018,,
AT&T,BlackBerry,BlackBerry KEYone,2018-06-12,2018-06-01,11,MPSS.TA.2.3.c1-00723-8953_GEN_PACK-1.153374.2 ABL183 nan,2017,4,2018,1.0,14.0
AT&T,BlackBerry,BlackBerry KEYone,2018-09-24,2018-09-01,23,MPSS.TA.2.3.c1-00723-8953_GEN_PACK-1.153374.2 ABO838 nan,2017,4,2018,2.0,104.0
AT&T,HTC,Desire 626,2015-09-10,2015-09-01,9,nan 1.24.502.5 3.10.49,2015,3,2015,,
AT&T,HTC,One M9,2015-10-19,2015-10-01,18,01.01_U11440601_72.02.50602A_F 2.11.502.18 CL591203 2.11.502.18,2015,3,2015,,
AT&T,HTC,One M9,2016-09-12,2016-08-01,42,01.01_U11440801_96.01.51207A_F 3045450 3.38.502.17 CL682052 release-keys,2015,3,2016,10.0,329.0
AT&T,HTC,One M9,2016-10-06,2016-09-01,35,01.01_U11440801_96.01.51207A_F 3046689 nan,2015,3,2016,0.0,24.0
AT&T,HTC,One M9,2016-10-28,2016-10-01,27,01.01_U11440801_96.01.51207A_F 3047498 nan,2015,3,2016,0.0,22.0
AT&T,HTC,One M9,2016-11-29,2016-11-01,28,01.01_U11440801_96.01.51207A_F 3049426 nan,2015,3,2016,0.0,32.0
AT&T,Huawei,Huawei Ascend XT,2016-10-14,2016-08-01,74,20234 H1611C07B160 nan,2016,10,2016,,
