Carrier,Manufacture,Model,Release_Date,Bulletin_Level,difference,Android_Level_Guessed,build,Year_Phone_Release,Month_Phone_Release,checker
AT&T,Alcatel,Alcatel IdealXCITE,2018-04-03,2018-02-01,61,False,JO.2.0.c1-00150-8909_GEN_PACK-1 nan YAMUAM0,2017,6,05
AT&T,Alcatel,Alcatel IdealXCITE,2018-04-03,2018-04-01,2,True,nan YB4UA40File nan,2017,6,01
AT&T,Alcatel,Alcatel IdealXCITE,2018-10-24,2018-08-01,84,False,JO.2.0.c1-00267-8909_GEN_PACK-2 nan YAYUAY0,2017,6,01
AT&T,Alcatel,Alcatel IdealXCITE,2018-12-18,2018-10-01,78,False,JO.2.0.c1-00267-8909_GEN_PACK-2 YB3UA30 nan,2017,6,05
AT&T,BlackBerry,BlackBerry KEYone,2017-09-26,2017-09-01,25,False,MPSS.TA.2.3.c1-00333-8953_GEN_PACK-1.103777.4.107751.1 AAT030 nan,2017,4,05
AT&T,BlackBerry,BlackBerry KEYone,2017-10-31,2017-10-01,30,False,MPSS.TA.2.3.c1-00333-8953_GEN_PACK-1.103777.4.107751.1 AAV056 nan,2017,4,05
AT&T,BlackBerry,BlackBerry KEYone,2017-11-15,2017-11-01,14,False,MPSS.TA.2.3.c1-00333-8953_GEN_PACK-1.103777.4.107751.1 AAW392 nan,2017,4,06
AT&T,BlackBerry,BlackBerry KEYone,2018-01-22,2018-01-01,21,False,MPSS.TA.2.3.c1-00333-8953_GEN_PACK-1.140059.1.140665.2 ABA075 nan,2017,4,05
AT&T,BlackBerry,BlackBerry KEYone,2018-02-27,2018-02-01,26,False,MPSS.TA.2.3.c1-00723-8953_GEN_PACK-1.153374.2 ABD375 nan,2017,4,05
AT&T,BlackBerry,BlackBerry KEYone,2018-03-26,2018-03-01,25,False,MPSS.TA.2.3.c1-00723-8953_GEN_PACK-1.153374.2 ABG360 nan,2017,4,05
AT&T,BlackBerry,BlackBerry KEYone,2018-05-29,2018-04-01,58,False,MPSS.TA.2.3.c1-00723-8953_GEN_PACK-1.153374.2 ABI975 nan,2017,4,01
AT&T,BlackBerry,BlackBerry KEYone,2018-06-12,2018-06-01,11,False,MPSS.TA.2.3.c1-00723-8953_GEN_PACK-1.153374.2 ABL183 nan,2017,4,01
AT&T,BlackBerry,BlackBerry KEYone,2018-08-15,2018-07-01,45,False,MPSS.TA.2.3.c1-00723-8953_GEN_PACK-1.153374.2 ABM658 nan,2017,4,05
AT&T,BlackBerry,BlackBerry KEYone,2018-09-24,2018-09-01,23,False,MPSS.TA.2.3.c1-00723-8953_GEN_PACK-1.153374.2 ABO838 nan,2017,4,01
AT&T,BlackBerry,BlackBerry KEYone,2018-11-05,2018-10-01,35,False,MPSS.TA.2.3.c1-00723-8953_GEN_PACK-1.153374.2 ABR128 nan,2017,4,05
AT&T,BlackBerry,BlackBerry KEYone,2018-12-03,2018-11-01,32,False,MPSS.TA.2.3.c1-00723-8953_GEN_PACK-1.188623.1.193466.2 ABU380 nan,2017,4,05
AT&T,BlackBerry,BlackBerry KEYone,2018-12-26,2018-12-01,25,False,nan ABV803 nan,2017,4,05
AT&T,BlackBerry,BlackBerry KEYone,2019-01-29,2019-01-01,28,False,nan ABX992 nan,2017,4,05
AT&T,BlackBerry,BlackBerry KEYone,2019-03-05,2019-02-01,32,False,nan ABZ982 nan,2017,4,05
AT&T,BlackBerry,BlackBerry KEYone,2019-04-30,2019-04-01,29,False,nan ACD561 nan,2017,4,05
AT&T,HTC,Desire 626,2015-09-10,2015-09-01,9,True,nan 1.24.502.5 3.10.49,2015,3,01
AT&T,HTC,One M9,2015-10-19,2015-10-01,18,True,01.01_U11440601_72.02.50602A_F 2.11.502.18 CL591203 2.11.502.18,2015,3,01
AT&T,HTC,One M9,2016-09-12,2016-08-01,42,False,01.01_U11440801_96.01.51207A_F 3045450 3.38.502.17 CL682052 release-keys,2015,3,01
AT&T,HTC,One M9,2016-10-06,2016-09-01,35,False,01.01_U11440801_96.01.51207A_F 3046689 nan,2015,3,01
AT&T,HTC,One M9,2016-10-28,2016-10-01,27,False,01.01_U11440801_96.01.51207A_F 3047498 nan,2015,3,01
AT&T,HTC,One M9,2016-11-29,2016-11-01,28,False,01.01_U11440801_96.01.51207A_F 3049426 nan,2015,3,01
AT&T,Huawei,Huawei Ascend XT,2016-10-14,2016-08-01,74,False,20234 H1611C07B160 nan,2016,10,01
AT&T,Huawei,Huawei Ascend XT,2016-10-14,2016-10-01,13,False,20234 H1611C07B150 nan,2016,10,01
AT&T,Huawei,Huawei Ascend XT,2017-01-16,2016-12-01,46,False,20234 H1611C07B170 nan,2016,10,01
AT&T,Huawei,Huawei Ascend XT,2018-03-26,2018-02-01,53,True,nan H1611C07B180Previous 3.10.49,2016,10,01
AT&T,Huawei,Huawei Ascend XT,2018-04-03,2018-03-01,33,False,20234 H1611C07B140 nan,2016,10,01
AT&T,Kyocera,DuraForce PRO 2,2016-09-28,2016-07-01,89,True,nan nan nan,2018,11,05
