Carrier,Manufacture,Model,Release_Date,Bulletin_Level,difference,Android_Level_Guessed,build
AT&T,HTC,HTC Desire 626,2015-09-10,2015-09-01,9.0,True,nan 1.24.502.5 3.10.49
AT&T,Samsung,Galaxy Note 5,2015-09-15,2015-09-01,14.0,False,G920AUCU1AOH5 LMY47X.N920AUCU1AOH5 nan
AT&T,Samsung,Galaxy S6 edge+,2015-09-15,2015-09-01,14.0,False,G928AUCU2AO16 LMY47X.G928AUCU2AO16 nan
AT&T,HTC,HTC One M9,2015-10-19,2015-10-01,18.0,True,01.01_U11440601_72.02.50602A_F 2.11.502.18 CL591203 2.11.502.18
AT&T,Samsung,Galaxy S5,2015-10-22,2015-10-01,21.0,False,G900AUCU4CPA1 LMY47X.G900AUCU4CPA1 nan
AT&T,Samsung,Galaxy S5 Active,2015-11-10,2015-11-01,9.0,False,G870AUCU2CPB1 LMY47X.G870AUCU2CPB1 nan
AT&T,LG,LG V10,2015-11-11,2015-11-01,10.0,False,MPSS.BO.2.5.c10.1-00014-M8992FAAAANAZM-1.41087.1 MRA58K H90020j
AT&T,LG,LG G Vista 2,2015-11-12,2015-11-01,11.0,False,MPSS.TA.1.0.c1-00030-8952_GEN_PACK-1 MMB29M H74020e
AT&T,Samsung,Galaxy S6 edge,2015-11-24,2015-11-01,23.0,False,G925AUCU3BOJ9 LMY47X.G925AUCU3BOJ9 nan
AT&T,Samsung,Galaxy S6,2015-11-24,2015-11-01,23.0,False,G920AUCU3BOJ9 LMY47X.G920AUCU3BOJ9 nan
AT&T,HTC,HTC Desire 610,2015-12-08,2015-11-01,37.0,True,1.101.1372.19.1121_1 0.27.4205.OOL_F 1.54.502.16 CL343839 nan
AT&T,ZTE,ZTE Maven,2015-12-10,2015-12-01,9.0,False,Z812H01 Z812V1.0.0B20 Z812V1.0.0B20
AT&T,LG,LG V40 ThinQ,2015-12-21,2015-12-01,20.0,True,nan PKQ1.190202.001Software nan
AT&T,Motorola,Motorola Moto X,2015-12-22,2015-12-01,21.0,False,MSM8974BP_4235210.110.09.11R VICTARA_ATT_CUST LPES23.32-21.9-3 nan
AT&T,AT&T,AT&T AXIA,2015-12-30,2015-12-01,29.0,True,nan nan nan
AT&T,Samsung,Galaxy S7,2016-03-18,2016-03-01,17.0,False,G930AUCS2APC2 nan nan
AT&T,Samsung,Galaxy S7 edge,2016-03-18,2016-03-01,17.0,False,G935AUCU2APD1 MMB29M.G935AUCU2APD1 nan
AT&T,Samsung,Galaxy Express prime,2016-04-18,2016-04-01,17.0,False,J320AUCU2APJ2 MMB29K.J320AUCU2APJ2 nan
AT&T,Samsung,Galaxy Express prime,2016-04-18,2016-04-02,16.0,False,J320AUCU2AQA1 MMB29K.J320AUCS2AQA1 nan
AT&T,Samsung,Galaxy Express 3,2016-04-27,2016-04-02,25.0,False,J120AUCU2APJ2 MMB29K.J120AUCU2APJ2 nan
AT&T,Samsung,Galaxy Express 3,2016-04-27,2016-04-01,26.0,False,J120AUCU1APC8 MMB29K.J120AUCU1APC8 nan
AT&T,LG,LG V40 ThinQ,2016-05-02,2016-05-01,1.0,False,MPSS.AT.4.0.c2.9-00051-SDM845_GEN_PACK-1.167582.1.170033.3 OPM1.171019.026 V405UA10j
AT&T,LG,LG G5,2016-05-05,2016-05-01,4.0,False,MPSS.TH.2.0.C1.4-00032-M8996FAAAANAZM-1.63052.1 MMB29M H82011k
AT&T,Samsung,Galaxy S7 edge,2016-05-12,2016-05-01,11.0,True,G935AUCS2APF2 MMB29M.G935AUCS2APF2 nan
AT&T,Samsung,Galaxy S7 edge,2016-06-17,2016-06-01,16.0,False,G935AUCU2APG1 MMB29M.G935AUCU2APG1 nan
AT&T,LG,LG G4,2016-08-02,2016-08-01,1.0,False,MPSS.BO.2.5.c3-00128-M8992FAAAANAZM-1.50758.1 MRA58K H81022b
AT&T,Samsung,Galaxy S7 active,2016-08-09,2016-08-01,8.0,False,G891AUCS1APH1 nan nan
AT&T,Samsung,Galaxy S5 Active,2016-08-11,2016-08-01,10.0,False,G870AUCU2DPH2 MMB29M.G870AUCU2DPH2 nan
AT&T,Samsung,Galaxy S5,2016-08-11,2016-08-01,10.0,False,G900AUCU4DPH2 MMB29M.G900AUCU4DPH2 nan
AT&T,Samsung,Galaxy Note 4,2016-08-18,2016-08-01,17.0,False,N910AUCU2EPH5 MMB29M.N910AUCU2EPH5 nan
AT&T,Samsung,Galaxy Note Edge,2016-08-19,2016-08-01,18.0,False,N915AUCU2DPH5 MMB29M.N915AUCU2DPH5 nan
AT&T,Samsung,Galaxy Note 5,2016-08-25,2016-08-01,24.0,False,N920AUCS3CPJ1 MMB29K. N920AUCS3CPJ1 nan
AT&T,Samsung,Galaxy S7 edge,2016-08-25,2016-08-01,24.0,False,G935AUCS4API2 MMB29M.G935AUCS4API2 nan
AT&T,Samsung,Galaxy S6 edge+,2016-08-25,2016-08-01,24.0,False,G928AUCS3CPJ1 MMB29K. G928AUCS3CPJ1 nan
AT&T,Samsung,Galaxy S6 active,2016-08-31,2016-08-01,30.0,False,G890AUCS5CPI4 MMB29K.G890AUCS5CPI4 nan
AT&T,HTC,HTC One M9,2016-09-12,2016-08-01,42.0,False,01.01_U11440801_96.01.51207A_F 3045450 3.38.502.17 CL682052 release-keys
AT&T,Samsung,Galaxy S5,2016-09-19,2016-09-01,18.0,False,G900AUCS4CPH4 MMB29M.G900AUCS4DPH4 nan
AT&T,Samsung,Galaxy S5 Active,2016-09-19,2016-09-01,18.0,False,G870AUCS2DPH4 MMB29M.G870AUCS2DPH4 nan
AT&T,Samsung,Galaxy S6 edge,2016-09-20,2016-08-01,50.0,False,G925AUCS5DPI1 MMB29K.G925AUCS5DPI1 nan
AT&T,Samsung,Galaxy S6 edge+,2016-09-20,2016-09-01,19.0,False,G928AUCS4CPK1 MMB29K.G928AUCS4CPK1 nan
AT&T,Samsung,Galaxy Note 5,2016-09-20,2016-09-01,19.0,False,N920AUCS4CPK1 MMB29K.N920AUCS4CPK1 nan
AT&T,Samsung,Galaxy S6,2016-09-20,2016-08-01,50.0,False,G920AUCS5DPI1 MMB29K.G920AUCS5DPI1 nan
AT&T,Samsung,Galaxy S7 edge,2016-09-26,2016-09-01,25.0,False,G935AUCU4APJ4 MMB29M. G935AUCS4APJ4 nan
AT&T,Samsung,Galaxy Note Edge,2016-09-26,2016-09-01,25.0,False,N915AUCU2DPK1 MMB29M.N915AUCU2DPK1 nan
AT&T,Samsung,Galaxy Note 4,2016-09-26,2016-09-01,25.0,False,N910AUCU2EPK1 MMB29M.N910AUCU2EPK1 nan
AT&T,Samsung,Galaxy S6 active,2016-09-27,2016-09-01,26.0,False,G890AUCU5CPK3 MMB29K.G890AUCU5CPK3 nan
AT&T,Kyocera,Kyocera DuraForce Pro,2016-09-28,2016-07-05,85.0,False,nan nan 5.081AT (3GB RAM) or 1.050AT (2GB RAM)
AT&T,Kyocera,Kyocera DuraForce PRO 2,2016-09-28,2016-07-05,85.0,True,nan nan nan
AT&T,Samsung,Galaxy S6,2016-09-30,2016-09-01,29.0,False,G920AUCS5DPJ1 MMB29K.G920AUCS5DPJ1 nan
AT&T,LG,LG G5,2016-09-30,2016-09-01,29.0,False,MPSS.TH.2.0.c1.4-00041-M8996FAAAANAZM-1.72241.1.75329.1 NRD90U H82020i
AT&T,ZTE,ZTE Maven,2016-09-30,2016-09-01,29.0,False,Z812H01 Z812V1.0.0B24 nan
AT&T,Samsung,Galaxy S6 edge,2016-09-30,2016-09-01,29.0,False,G925AUCS5DPJ1 MMB29K.G925AUCS5DPJ1 nan
AT&T,LG,LG G4,2016-09-30,2016-09-01,29.0,False,MPSS.BO.2.5.c3-00128-M8992FAAAANAZM-1.50758.1 MRA58K H81022c
AT&T,HTC,HTC One M9,2016-10-06,2016-09-01,35.0,False,01.01_U11440801_96.01.51207A_F 3046689 nan
AT&T,LG,LG V10,2016-10-11,2016-09-01,40.0,False,MPSS.BO.2.5.c10.1-00024-M8992FAAAANAZM-1.55482.1.56599.1 MRA58K H90021x
AT&T,Huawei,Huawei Ascend XT,2016-10-14,2016-10-01,13.0,False,20234 H1611C07B150 nan
AT&T,Huawei,Huawei Ascend XT,2016-10-14,2016-08-01,74.0,False,20234 H1611C07B160 nan
AT&T,Samsung,Galaxy S6 active,2016-10-25,2016-10-01,24.0,False,G890AUCS5CPK4 MMB29K.G890AUCS5CPK4 nan
AT&T,Samsung,Galaxy S6,2016-10-26,2016-10-01,25.0,False,G920AUCS5DPK1 MMB29K.G920AUCS5DPK1 nan
AT&T,Samsung,Galaxy S5,2016-10-26,2016-10-01,25.0,False,G900AUCU4DQA1 MMB29M.G900AUCU4DQA1 nan
AT&T,Samsung,Galaxy Note 5,2016-10-26,2016-10-01,25.0,False,N920AUCS4CPL1 MMB29K.N920AUCS4CPL1 nan
AT&T,Samsung,Galaxy S5 Active,2016-10-26,2016-10-01,25.0,False,G870AUCU2DPK2 MMB29M.G870AUCU2DPK2 nan
AT&T,Samsung,Galaxy S6 edge+,2016-10-26,2016-10-01,25.0,False,G928AUCS4CPL1 MMB29K. G928AUCS4CPL1 nan
AT&T,Samsung,Galaxy S6 edge,2016-10-26,2016-10-01,25.0,False,G925AUCS5DPK1 MMB29K.G925AUCS5DPK1 nan
AT&T,HTC,HTC One M9,2016-10-28,2016-10-01,27.0,False,01.01_U11440801_96.01.51207A_F 3047498 nan
AT&T,ZTE,ZTE Maven 2,2016-11-01,2016-11-01,0.0,False,Z831H01 Z831V1.0.0B18 nan
AT&T,LG,LG K10,2016-11-01,2016-09-01,61.0,False,MPSS.JO.2.0.c1.2-00020-8909_GEN_PACK-1.90266.1.93441.1.106743.1 NRD90U K42520f
AT&T,ZTE,ZTE Maven 2,2016-11-01,2016-10-01,31.0,False,Z831H01 Z831V1.0.0B19 nan
AT&T,Samsung,Galaxy S7 edge,2016-11-08,2016-10-01,38.0,False,G935AUCS4APK1 MMB29M. G935AUCS4APK1 nan
AT&T,Samsung,Galaxy J3 (2016),2016-11-08,2016-11-01,7.0,False,J320AUCU2APJ2 MMB29K.J320AUCU2APJ2 nan
AT&T,Samsung,Galaxy J3 (2016),2016-11-08,2016-10-01,38.0,False,J320AUCU2AQA1 MMB29K.J320AUCS2AQA1 nan
AT&T,Samsung,Galaxy Express prime,2016-11-08,2016-10-01,38.0,False,J320AUCU2AQC1 MMB29K.J320AUCU2AQC1 nan
AT&T,Samsung,Galaxy Express 3,2016-11-08,2016-10-01,38.0,False,J120AUCS2AQB1 MMB29K.J120AUCS2AQB1 nan
AT&T,Samsung,Galaxy S7 edge,2016-11-18,2016-11-01,17.0,False,G935AUCU4BQA6 NRD90M.G935AUCU4BQA6 nan
AT&T,Samsung,Galaxy S6,2016-11-22,2016-11-01,21.0,False,G920AUCS5DPK3 MMB29K.G920AUCS5DPK3 nan
AT&T,Samsung,Galaxy S6 edge,2016-11-22,2016-11-01,21.0,False,G925AUCS5DPK2 MMB29K.G925AUCS5DPK2 nan
AT&T,HTC,HTC One M9,2016-11-29,2016-11-01,28.0,False,01.01_U11440801_96.01.51207A_F 3049426 nan
AT&T,Samsung,Galaxy Note 5,2016-11-29,2016-11-01,28.0,False,N920AUCS4CQA1 MMB29K.N920AUCS4CQA1 nan
AT&T,Samsung,Galaxy S6 edge+,2016-11-29,2016-11-01,28.0,False,G928AUCS4CQA1 MMB29K.G928AUCS4CQA1 nan
AT&T,Samsung,Galaxy Note 4,2016-12-01,2016-11-01,30.0,False,N910AUCS2EPK2 MMB29M.N910AUCS2EPK2 nan
