CVE,Type,Severity,Updated_AOSP_versions,CVE_Classification,bulletin,Updated_Devices
CVE-2017-13176,EoP,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Android runtime,2018-01-01.txt,
CVE-2017-13177,RCE,Critical,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-01-01.txt,
CVE-2017-13178,RCE,Critical,"6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-01-01.txt,
CVE-2017-13179,RCE,Critical,"6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-01-01.txt,
CVE-2017-13180,EoP,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-01-01.txt,
CVE-2017-13181,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-01-01.txt,
CVE-2017-13182,EoP,High,"8.0, 8.1",Media framework,2018-01-01.txt,
CVE-2017-13184,EoP,High,"8.0, 8.1",Media framework,2018-01-01.txt,
CVE-2017-0855,DoS,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2018-01-01.txt,
CVE-2017-13191,DoS,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-01-01.txt,
CVE-2017-13192,DoS,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-01-01.txt,
CVE-2017-13193,DoS,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-01-01.txt,
CVE-2017-13195,DoS,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-01-01.txt,
CVE-2017-13196,DoS,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-01-01.txt,
CVE-2017-13197,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-01-01.txt,
CVE-2017-13199,DoS,High,"8.0, 8.1",Media framework,2018-01-01.txt,
CVE-2017-13208,RCE,Critical,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-01-01.txt,
CVE-2017-13209,EoP,High,"8.0, 8.1",System,2018-01-01.txt,
CVE-2017-13210,EoP,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-01-01.txt,
CVE-2017-13211,DoS,High,8.0,System,2018-01-01.txt,
CVE-2017-0807,EoP,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Framework,2017-12-01.txt,
CVE-2017-0870,EoP,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Framework,2017-12-01.txt,
