phone_model,carrier,android_os,carrier_release,security_patch,difference,Locked
Galaxy S7 edge,TMobile,8.0.0,2019-04-03,2019-03-01,33,True
Galaxy S9,TMobile,9,2019-12-11,2019-12-01,10,True
Galaxy S9,TMobile,9,2019-10-10,2019-09-01,39,True
Galaxy S9,TMobile,9,2019-08-02,2019-07-01,32,True
Galaxy S9,TMobile,9,2019-06-14,2019-06-01,13,True
Galaxy S9,TMobile,9,2019-06-01,2019-05-01,31,True
Galaxy S9,TMobile,9,2019-04-20,2019-04-01,19,True
Galaxy S9,TMobile,9,2019-03-22,2019-03-01,21,True
Galaxy S9,TMobile,9,2019-02-13,2019-01-01,43,True
Galaxy S9,TMobile,8.0.0,2018-12-17,2018-12-01,16,True
Galaxy S9,TMobile,8.0.0,2018-11-20,2018-11-01,19,True
Galaxy S9,TMobile,8.0.0,2018-11-07,2018-10-01,37,True
Galaxy S9,TMobile,8.0.0,2018-10-22,2018-10-01,21,True
Galaxy S9,TMobile,8.0.0,2018-08-18,2018-08-01,17,True
Galaxy S9,TMobile,8.0.0,2018-08-13,2018-07-01,43,True
Galaxy Note 8,Sprint,9,2020-01-13,2020-01-01,12,True
Galaxy Note 8,Sprint,9,2019-12-16,2019-12-01,15,True
Galaxy Note 8,Sprint,9,2019-12-02,2019-11-01,31,True
Galaxy Note 8,Sprint,9,2019-10-24,2019-10-01,23,True
Galaxy Note 8,Sprint,9,2019-09-26,2019-09-01,25,True
Galaxy Note 8,Sprint,9,2019-08-26,2019-08-01,25,True
Galaxy Note 8,Sprint,9,2019-07-18,2019-07-01,17,True
Galaxy Note 8,Sprint,9,2019-06-24,2019-06-01,23,True
Galaxy Note 8,Sprint,9,2019-05-31,2019-05-01,30,True
Galaxy Note 8,Sprint,9,2019-04-19,2019-04-01,18,True
Galaxy Note 8,Sprint,9,2019-03-26,2019-03-01,25,True
Galaxy Note 8,Sprint,8.0.0,2019-03-04,2019-02-01,31,True
Galaxy Note 8,Sprint,8.0.0,2019-01-29,2019-01-01,28,True
Galaxy Note 8,Sprint,8.0.0,2018-12-17,2018-12-01,16,True
Galaxy Note 8,Sprint,8.0.0,2018-11-15,2018-11-01,14,True
Galaxy Note 8,Sprint,8.0.0,2018-10-19,2018-10-01,18,True
Galaxy Note 8,Sprint,8.0.0,2018-10-10,2018-09-01,39,True
Galaxy Note 8,Sprint,8.0.0,2018-09-20,2018-09-01,19,True
Galaxy Note 8,Sprint,8.0.0,2018-08-30,2018-08-01,29,True
Galaxy Note 8,Sprint,8.0.0,2018-08-13,2018-07-01,43,True
Galaxy S9+,Sprint,9,2019-12-12,2019-12-01,11,True
Galaxy S9+,Sprint,9,2019-09-16,2019-09-01,15,True
Galaxy S9+,Sprint,9,2019-08-22,2019-08-01,21,True
Galaxy S9+,Sprint,9,2019-08-12,2019-07-01,42,True
Galaxy S9+,Sprint,9,2019-07-08,2019-06-01,37,True
Galaxy S9+,Sprint,9,2019-04-17,2019-04-01,16,True
Galaxy S9+,Sprint,9,2019-04-08,2019-03-01,38,True
Galaxy S9+,Sprint,9,2019-02-27,2019-02-01,26,True
Galaxy S9+,Sprint,9,2019-01-31,2019-01-01,30,True
Galaxy S9+,Sprint,8.0.0,2018-12-17,2018-12-01,16,True
Galaxy S9+,Sprint,8.0.0,2018-11-17,2018-11-01,16,True
Galaxy S9+,Sprint,8.0.0,2018-11-07,2018-10-01,37,True
Galaxy S9+,Sprint,8.0.0,2018-10-19,2018-10-01,18,True
Galaxy S9+,Sprint,8.0.0,2018-09-20,2018-09-01,19,True
Galaxy S9+,Sprint,8.0.0,2018-09-17,2018-08-01,47,True
Galaxy S9+,Sprint,8.0.0,2018-08-31,2018-08-01,30,True
Galaxy S9+,Sprint,8.0.0,2018-08-06,2018-07-01,36,True
Galaxy Note 8,Sprint,9,2020-01-20,2020-01-01,19,False
Galaxy Note 8,Sprint,9,2020-01-14,2019-12-01,44,False
Galaxy Note 8,Sprint,9,2019-12-23,2019-12-01,22,False
Galaxy Note 8,Sprint,9,2019-11-26,2019-11-01,25,False
Galaxy Note 8,Sprint,9,2019-10-23,2019-10-01,22,False
Galaxy Note 8,Sprint,9,2019-09-30,2019-09-01,29,False
Galaxy Note 8,Sprint,9,2019-09-10,2019-08-01,40,False
Galaxy Note 8,Sprint,9,2019-08-27,2019-08-01,26,False
Galaxy Note 8,Sprint,9,2019-07-29,2019-07-01,28,False
Galaxy Note 8,Sprint,9,2019-07-03,2019-06-01,32,False
Galaxy Note 8,Sprint,9,2019-06-11,2019-05-01,41,False
Galaxy Note 8,Sprint,9,2019-04-26,2019-04-01,25,False
Galaxy Note 8,Sprint,8.0.0,2019-03-05,2019-02-01,32,False
Galaxy Note 8,Sprint,8.0.0,2019-02-01,2019-01-01,31,False
Galaxy Note 8,Sprint,8.0.0,2019-01-14,2018-12-01,44,False
Galaxy Note 8,Sprint,8.0.0,2018-12-11,2018-11-01,40,False
Galaxy Note 8,Sprint,8.0.0,2018-11-09,2018-10-01,39,False
Galaxy Note 8,Sprint,8.0.0,2018-09-27,2018-09-01,26,False
